local_results,click,organic_click_3p,organic_click_1p,time_elapsed,n_direct_answer,n_knowledge_panel_rhs,n_people_also_ask,n_top_stories,n_twitter_cards,n_videos,n_images,n_ad,n_map_results,n_recipes,n_products,Reference,News and Media,Business,Shopping,Information Technology,Education,Entertainment,Streaming Media and Download,Health and Wellness,Government and Legal Organizations,Social Networking,Restaurant and Dining,Finance and Banking,Sports,Games,Society and Lifestyles,Newsgroups and Message Boards,Arts and Culture,Travel,Real Estate,click_prev_1,organic_click_3p_prev_1,organic_click_1p_prev_1,log_time_elapsed_prev_1,log_time_prev_1,user_id
1,1,0,1,48.331,0,0,1,0,0,0,0,0,0,0,0,0.0671664423678374,0.0601626324468789,0.053651648122524,0.0,0.0,0.0,0.0,0.0,0.0,0.7623538108687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.7585531832753167,13.280715917041247,1269
1,0,0,0,2.923,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0223469718233833,0.0342653567958544,0.0,0.0,0.0,0.0,0.0,0.0,0.9433876713807624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.037707673195528,3.0637179713450853,1521
1,0,0,0,4.659000000000002,0,0,1,0,0,0,0,0,0,0,0,0.2087275165856346,0.0,0.1898306708499986,0.5448630437733019,0.0565787687910648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.537894341207126,7.225038143085157,1622
1,0,0,0,4.6880000000000015,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1760498758501565,0.0,0.0,0.0,0.067532117024722,0.0,0.0,0.6058458382813343,0.1182986073626254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.4799539600989037,4.750784534793064,841
1,1,0,1,300.0,0,0,0,0,0,1,0,0,0,0,0,0.1806677140612724,0.0444697564807541,0.4615868028279656,0.046967792615868,0.0,0.0,0.0,0.1386174391201886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0720188531029065,0.0556716417910447,1,1,0,3.199366754479976,7.958619560246757,702
1,1,1,0,16.339000000000002,0,0,1,0,0,0,0,0,0,0,0,0.0393762328333766,0.0,0.0,0.3595221258699618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5312131700720781,0.0,0.0,0.0,0.0,0.0568685101790166,0.0,1,1,0,3.4185132594273866,6.619534394730679,1726
1,1,0,1,13.085,0,0,0,0,0,0,0,0,0,0,0,0.1641500546114306,0.0,0.1755433966756907,0.0110672264122618,0.0,0.0,0.0,0.0,0.501798812524912,9.835233949157028e-05,0.0,0.0,0.0003002334573953,0.0,0.0,0.0,0.0,0.0,0.0,0.0001552931676182,0,0,0,-0.4354089844812364,4.590908976635822,165
1,1,1,0,70.685,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.1333427610141827,0.0,0.0,0.0417587338624619,0.0,0.0,0.0,0.8125305663090042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,3.168213910065973,15.520187180194236,875
1,0,0,0,18.368,0,0,0,0,0,1,0,0,0,0,0,0.255247446975648,0.0,0.0556716417910447,0.0,0.0,0.0,0.0,0.2562058130400629,0.0,0.1189866457187745,0.0,0.0,0.0444697564807541,0.0,0.0,0.0,0.0,0.0,0.2694186959937156,0.0,0,0,0,2.0496264566006506,4.772877134412403,878
1,0,0,0,11.557,0,0,1,0,0,1,1,0,0,0,0,0.1896364460017792,0.0,0.0308974505919145,0.7333628062591764,0.0,0.0,0.0346470617130318,0.0114562354340979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.8337008370162269,4.874235028282808,883
1,1,1,0,7.016,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0123679388143512,0.0,0.0,0.0,0.0,0.0,0.9876320611856488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.960881996118245,6.231942977448387,884
1,1,0,1,10.184,0,0,0,0,0,0,0,0,0,0,0,0.2363759041347296,0.0,0.1760498758501565,0.0342653567958544,0.0223469718233833,0.0,0.0,0.0,0.168617078700205,0.0,0.0494872071683039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.2354832894533097,6.065070428949742,887
1,0,0,0,26.196,0,0,1,0,0,0,1,0,0,0,0,0.1065553972126277,0.0,0.7751020506751045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1183425521122677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.458744590711666,5.630354783879137,1314
1,1,1,0,9.884,0,0,0,0,0,0,0,0,0,0,0,0.0961202996848223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3329292594804595,0.0,0.0,0.0,0.0,0.0,0.0,0.5355949642542474,0.0,0.0,1,1,0,3.2909732057085845,6.623915150137743,901
