top_stories,click,organic_click_3p,organic_click_1p,time_elapsed,n_direct_answer,n_featured_snippet,n_knowledge_panel_rhs,n_people_also_ask,n_twitter_cards,n_videos,n_images,n_ad,n_local_results,n_recipes,n_products,Reference,News and Media,Business,Shopping,Information Technology,Education,Entertainment,Streaming Media and Download,Health and Wellness,Government and Legal Organizations,Social Networking,Restaurant and Dining,Finance and Banking,Sports,Games,Society and Lifestyles,Newsgroups and Message Boards,Arts and Culture,Travel,Real Estate,click_prev_1,organic_click_3p_prev_1,organic_click_1p_prev_1,log_time_elapsed_prev_1,log_time_prev_1,user_id
1,1,0,1,6.502000000000002,0,0,0,1,0,1,0,0,0,0,0,0.0,0.939287636976191,0.0,0.0,0.0,0.0,0.0,0.0367469565670422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0239654064567667,0.0,0,0,0,2.271816559322409,7.680438885230367,616
1,0,0,0,12.643,0,0,0,1,0,1,0,0,0,0,0,0.0,0.1812406222633741,0.0,0.0395301231028385,0.1819211182445435,0.0,0.0,0.0697843050853129,0.0,0.0,0.0,0.0,0.0,0.4959477022104964,0.0,0.0,0.0,0.0,0.0315761290934343,0.0,0,0,0,1.440308949426129,4.973998971859353,616
1,0,0,0,2.9490000000000003,0,0,1,1,0,1,0,0,0,0,0,0.1700020534483263,0.0372436856463961,0.0,0.0,0.0,0.0,0.0,0.035078764410807,0.0,0.0,0.0,0.0,0.0,0.7576754964944705,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.049755231309476,6.167596152285518,616
1,1,1,0,38.494,0,0,1,1,1,0,1,0,0,0,0,0.1619467592204467,0.4334713815440163,0.0,0.0,0.0,0.0354789490451199,0.0,0.0,0.0,0.0986234301906407,0.215701726440983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.8087804535623584,11.396442153056888,1281
1,1,1,0,52.234,0,0,1,1,1,0,1,0,0,0,0,0.2804468409537909,0.4244049855251818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0836832335197012,0.1801893880798215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,3.252271915486629,6.188354468077333,176
1,1,1,0,34.529,0,0,1,1,1,1,0,0,0,0,0,0.1565845336748947,0.2927416371757145,0.0,0.0,0.0,0.0,0.3199929332133452,0.0506158594151129,0.0,0.0,0.1800650365209326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9917691930500606,2.666672496648232,373
1,0,0,0,6.742999999999999,0,0,1,1,0,1,0,0,0,0,0,0.0627983841351449,0.4071827472235239,0.0,0.0,0.0,0.0262134815809134,0.0,0.0580495650081679,0.0,0.0,0.0,0.0,0.4457558220522498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.307174545327853,3.016171952791447,288
1,0,0,0,8.397,0,0,1,1,0,1,0,0,0,0,0,0.0483654174735162,0.1240801913657591,0.0,0.0,0.0,0.0361544595056383,0.0,0.0340528534001594,0.0,0.0,0.0,0.0,0.7573470782549268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.6961659159439244,6.803257724199777,288
1,1,1,0,178.43300000000005,0,0,1,1,0,1,0,0,0,0,0,0.0524372321638076,0.3948167907821127,0.0,0.0,0.0,0.0,0.0,0.0437615007471626,0.0,0.0,0.0,0.0,0.5089844763069171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.273439764858568,9.5955599827357,381
1,0,0,0,3.914,0,0,1,1,0,1,0,0,0,0,0,0.0516882278740941,0.1271905893396697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8211211827862361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,5.407714225202342,5.636466767371334,288
