shopping_ads,click,organic_click_3p,organic_click_1p,time_elapsed,n_direct_answer,n_featured_snippet,n_knowledge_panel_rhs,n_people_also_ask,n_top_stories,n_twitter_cards,n_videos,n_images,n_ad,n_local_results,n_map_results,n_recipes,n_products,Reference,News and Media,Business,Shopping,Information Technology,Education,Entertainment,Streaming Media and Download,Health and Wellness,Government and Legal Organizations,Social Networking,Restaurant and Dining,Finance and Banking,Sports,Games,Society and Lifestyles,Newsgroups and Message Boards,Arts and Culture,Travel,Real Estate,click_prev_1,organic_click_3p_prev_1,organic_click_1p_prev_1,log_time_elapsed_prev_1,log_time_prev_1,user_id
1,1,1,0,27.089,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1870619176994554,0.0,0.0,0.0,0.0,0.5384271837433473,0.0,0.0351148163310878,0.0,0.0,0.0,0.0,0.2393960822261094,0.0,0.0,0.0,0.0,1,1,0,0.3328944152733289,12.08662937619825,632
1,1,1,0,32.678000000000004,0,1,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0552672158787491,0.042522935504581,0.0,0.0125942770740955,0.0,0.0,0.876313278892136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,4.108543281621913,5.109605434732067,632
1,1,1,0,60.858,0,1,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0552672158787491,0.042522935504581,0.0,0.0125942770740955,0.0,0.0,0.8896155715425742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3.6910520922255534,5.97790553780003,632
1,1,1,0,2.585,0,0,1,1,1,0,1,0,0,1,0,0,1,0.038191877518899,0.0,0.0,0.0125140104452339,0.5868647604511961,0.0,0.0,0.0168781150883551,0.0,0.0,0.0,0.0,0.0,0.0,0.3455512364963157,0.0,0.0,0.0,0.0,0.0,0,0,0,3.6529931755495273,10.832623095478327,840
1,1,0,0,6.814,0,0,0,1,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.3945602281157271,0.0,0.0,0.0,0.0,0.491857149480712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,4.07420987980172,4.576842725334238,1486
1,0,0,0,19.075000000000006,0,0,0,1,0,0,1,1,1,0,0,0,1,0.0,0.0,0.0,0.6425009080495099,0.0443407560559916,0.0,0.0,0.227815651979548,0.0,0.0,0.014661507082786,0.0,0.0,0.0,0.0,0.0,0.0289178843843423,0.0,0.0,0.0,1,1,0,2.516970402634356,6.425322729717364,137
1,0,0,0,300.0,0,1,0,1,0,0,0,0,1,0,0,1,0,0.0,0.0375399172087521,0.0,0.1290065050266114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3193435836782968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.810214937667045,12.428826769027213,730
1,0,0,0,2.226,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.9353885135135136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0646114864864865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.2196381721731195,6.991469392635368,701
1,0,0,0,14.174,0,0,0,1,0,0,0,1,1,0,0,0,0,0.0,0.0645124868948089,0.4453990698674697,0.3457512298717709,0.0,0.0003118363396864,0.0,0.0321460254307911,0.0,7.527084061399505e-05,0.0023764079679559,0.0114089088416354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.7100069673557958,4.172554822758661,643
1,0,0,0,32.317,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.2401861296598139,0.3964509175035491,0.0333771491666227,0.0,0.0,0.0,0.0779693990220306,0.0,0.2302486986697513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.6007619025384683,11.461465809377,647
1,1,1,0,5.915,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0529174434779597,0.0,0.2149713421567552,0.5466923711840048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0345106233153055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.7239891649037125,3.605008595076789,648
1,1,1,0,6.807,0,0,0,1,0,0,1,0,1,0,0,0,0,0.1058783293232451,0.0,0.0799577590706994,0.4503039066859471,0.0550092102026244,0.0,0.0,0.1956943052747161,0.0,0.0,0.0750676514883327,0.0,0.0,0.0,0.0,0.0,0.0380888379544349,0.0,0.0,0.0,0,0,0,1.2487549470978292,4.703965195803753,652
1,1,0,0,8.665000000000001,0,0,0,1,0,0,0,1,0,0,0,0,1,0.0,0.0,0.2376649590835891,0.7417055913022568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0206294496141541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.5648456731904887,10.047359905153863,728
1,1,1,0,4.8870000000000005,0,0,0,1,0,0,0,0,1,1,0,0,0,0.0,0.0,0.4131646413234511,0.3659000639582069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0304258326659823,0.0,0.0,0.0152156036526047,0.0,1,1,0,2.332823276054656,8.394200132126503,654
1,1,1,0,12.019,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.395076093059873,0.0,0.1753121581022176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.562176285279301,3.1518809560439225,586
1,1,0,0,47.24500000000001,0,0,0,1,0,0,0,1,1,0,0,0,0,0.0,0.1988173976652748,0.0751440153616385,0.0172574598433355,0.115742631594989,0.0,0.0,0.0,0.0,0.0,0.3533176872199703,0.0,0.0,0.0,0.0,0.1075680453534091,0.0,0.0,0.0,0.0,0,0,0,0.1789826555284401,5.804595666892785,1376
1,1,0,1,6.229,0,0,0,1,0,0,0,1,0,0,0,0,0,0.5268784485556638,0.0,0.0,0.3919182083739047,0.0382789678675754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,5.703782474656201,10.82333728365246,1247
