images,click,organic_click_3p,organic_click_1p,time_elapsed,n_knowledge_panel_rhs,n_people_also_ask,n_top_stories,n_twitter_cards,n_videos,n_ad,n_local_results,n_map_results,n_recipes,Reference,News and Media,Business,Shopping,Information Technology,Education,Entertainment,Streaming Media and Download,Health and Wellness,Government and Legal Organizations,Social Networking,Restaurant and Dining,Finance and Banking,Sports,Games,Society and Lifestyles,Newsgroups and Message Boards,Arts and Culture,Travel,Real Estate,click_prev_1,organic_click_3p_prev_1,organic_click_1p_prev_1,log_time_elapsed_prev_1,log_time_prev_1,user_id
1,1,1,0,6.489000000000001,0,0,0,0,0,0,0,0,0,0.0330112632508833,0.4298586572438161,0.0,0.0,0.0,0.0,0.4397029593639576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0974271201413427,0.0,0.0,1,1,0,2.5126839307874467,4.455439722594325,1409
1,0,0,0,9.178,1,0,1,0,1,0,0,0,0,0.1297791167946554,0.8702208832053445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,3.850721904851541,11.429526029785334,1622
1,0,0,0,18.998,0,1,0,0,1,0,0,0,0,0.2761261023393357,0.0748481808100543,0.0,0.0,0.0,0.0,0.489053176321487,0.0968263188467022,0.0,0.0,0.0631462216824206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.6776571514112446,4.713683725637322,373
1,1,1,0,33.387,0,1,0,0,1,0,0,0,0,0.2761261023393357,0.0748481808100543,0.0,0.0,0.0,0.0,0.489053176321487,0.0968263188467022,0.0,0.0,0.0631462216824206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.6094078089732102,7.4934770356501215,373
1,0,0,0,29.311000000000003,0,1,0,0,0,0,0,0,0,0.0819614137377575,0.0807560024894362,0.0,0.4397654688984245,0.0,0.0464279865046349,0.2868813259523732,0.0,0.0,0.0370860493301451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0271217530872284,0.0,0.0,1,0,1,5.703782474656201,6.328725758121315,1532
1,1,0,1,5.525,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2417789310954063,0.0,0.0,0.0,0.0391287544169611,0.0,0.0350485865724381,0.0,0.1509496466431095,0.0,0.5000828180212015,0.0330112632508833,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.288103335491904,8.48597555206488,903
1,0,0,0,157.157,0,1,0,0,1,0,0,0,0,0.0,0.1919205787611554,0.0,0.0,0.0748481808100543,0.0,0.2036964672334582,0.2761261023393357,0.0,0.0,0.1863653165760153,0.0,0.0,0.0,0.0,0.0670433542799808,0.0,0.0,0.0,0.0,0,0,0,-1.7092582477163114,7.876018914257314,1416
1,1,1,0,10.524,0,1,0,0,0,1,0,0,0,0.0,0.0,0.037087349733894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.962912650266106,1,1,0,2.571695779860391,5.249515702312479,903
1,0,0,0,2.734,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0600609256772249,0.0,0.1555111533296209,0.1156015591732451,0.0,0.5509843100003277,0.0,0.0,0.0391693144223525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.353183145757137,4.289801690631364,908
1,1,0,1,2.406,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0355052966301014,0.3685375781637095,0.0374997648032814,0.0,0.0398141005136695,0.0,0.0,0.0,0.0444490438469402,0.0,0.0,0.0,0.0,0.4741942160422978,0.0,0.0,0.0,0.0,1,1,0,2.173159545553588,8.303092628751658,921
