scholarly_articles,click,organic_click_3p,organic_click_1p,time_elapsed,n_direct_answer,n_featured_snippet,n_knowledge_panel_rhs,n_people_also_ask,n_top_stories,n_twitter_cards,n_videos,n_images,n_ad,n_local_results,n_map_results,Reference,News and Media,Business,Shopping,Information Technology,Education,Entertainment,Streaming Media and Download,Health and Wellness,Government and Legal Organizations,Social Networking,Finance and Banking,Sports,Society and Lifestyles,Newsgroups and Message Boards,Arts and Culture,Travel,Real Estate,click_prev_1,organic_click_3p_prev_1,organic_click_1p_prev_1,log_time_elapsed_prev_1,log_time_prev_1,user_id
1,1,1,0,12.399,0,0,0,0,0,0,0,0,0,0,0,0.0877415524128251,0.0,0.0,0.0,0.475256396415848,0.3694699341466048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,3.1179499062782403,9.80400450843115,952
1,1,1,0,6.939,0,0,0,0,0,0,0,0,0,0,0,0.0877415524128251,0.0,0.0,0.0,0.475256396415848,0.3694699341466048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.517615824197705,7.212017881581139,952
1,0,0,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0.0877415524128251,0.0,0.0,0.0,0.475256396415848,0.3694699341466048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.202654254368996,6.0395282569971975,952
1,1,1,0,11.617,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.182991471445536,0.5734265356795855,0.0,0.0,0.1760498758501565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.5752804231375035,4.009893541085899,952
1,1,1,0,7.056,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.6305300658533952,0.3694699341466048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3.3110538318091893,8.382283249028472,952
1,1,1,0,5.952000000000001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.312857605527367,0.0,0.0,0.2364622692432255,0.4506801252294073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.913816980352724,4.777559245103199,958
1,0,0,0,6.355,0,1,1,0,0,0,0,0,0,0,0,0.1884513347262761,0.0,0.0,0.0,0.1495765347624287,0.581441961603692,0.0,0.0,0.0,0.031787804839147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.386544329875098,6.521595615771935,979
1,0,0,0,6.759,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0648224117456547,0.0,0.0,0.0,0.8151624743603585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-0.0151136378100481,4.4230726041098825,979
1,1,1,0,9.003,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3595221258699618,0.0,0.0,0.5310208790799804,0.1094569950500577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.681979973369026,9.05841547991118,688
1,1,0,1,11.115,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5210353017380979,0.0,0.0,0.2686494656158912,0.1760498758501565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.5085417928854343,8.610229150776906,997
1,1,1,0,24.701,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5817823599265898,0.0,0.0,0.0,0.3533952283277555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,2.40829554741616,5.285860095945685,997
1,0,0,0,3.963,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0223469718233833,0.0,0.0,0.3128576055273671,0.0,0.0,0.2637914282629817,0.1970473928532872,0.0,0.0305570549498002,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.225163946025461,6.35882272158012,1007
1,1,1,0,5.346,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0322735614811616,0.0,0.0,0.3434146604771673,0.0,0.0,0.2086581021267407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0.2799018851328188,8.43873466160341,1032
1,1,1,0,9.527,0,0,1,0,0,0,0,0,0,0,0,0.046839030043968,0.0,0.0376785704791829,0.0,0.0,0.5035594472888125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.977547233998496,5.819005198472624,1032
