ad,click,organic_click_3p,organic_click_1p,time_elapsed,n_direct_answer,n_featured_snippet,n_knowledge_panel_rhs,n_people_also_ask,n_top_stories,n_twitter_cards,n_videos,n_images,n_scholarly_articles,n_local_results,n_map_results,n_recipes,n_products,Reference,News and Media,Business,Shopping,Information Technology,Education,Entertainment,Streaming Media and Download,Health and Wellness,Government and Legal Organizations,Social Networking,Restaurant and Dining,Finance and Banking,Sports,Games,Society and Lifestyles,Newsgroups and Message Boards,Arts and Culture,Travel,Real Estate,click_prev_1,organic_click_3p_prev_1,organic_click_1p_prev_1,log_time_elapsed_prev_1,log_time_prev_1,user_id
1,0,0,0,1.3130000000000002,0,0,1,1,1,1,1,1,0,0,0,0,0,0.0998876423151217,0.3066313173523436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0921609759067486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.0371862287827223,10.449571626973835,1399
1,1,1,0,19.833,0,0,1,1,1,1,1,1,0,0,0,0,0,0.0998876423151217,0.3295456432339086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0692466500251836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.887701529340286,11.284534859411965,673
1,1,1,0,16.389,0,0,1,0,1,1,1,1,0,0,0,0,0,0.0776891589652698,0.3037357049415536,0.0,0.0,0.0,0.0,0.0,0.0483605519686036,0.0,0.0,0.1265666540068362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,4.17961971061657,11.387528860766263,1350
1,1,1,0,14.594,0,0,1,1,1,1,1,1,0,0,0,0,0,0.1101004390049222,0.3184947452441132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069348365926123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.972361287230751,4.9429915121786,1066
1,0,0,0,65.15400000000001,0,0,1,0,1,1,0,1,0,0,0,0,0,0.0946896757979127,0.3166413943995256,0.0371843371407883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0953455304815022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-0.4748151862429576,11.266514745262173,1115
1,1,1,0,5.408,0,0,1,1,1,1,1,1,0,0,0,0,0,0.1101004390049222,0.3184947452441132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069348365926123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.6806104853434283,2.911698277943981,1066
1,1,1,0,4.952,0,0,1,1,1,1,1,0,0,0,0,0,0,0.0411924238506773,0.3486282944862223,0.0,0.0,0.0,0.0,0.0,0.0970728513981109,0.0,0.0,0.0504343138171756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.8654184015003986,8.706110283105481,1399
1,1,1,0,4.194,0,0,1,0,1,1,1,0,0,0,0,0,0,0.0776891589652698,0.2721969025615056,0.0334852512976325,0.0,0.0,0.0,0.0,0.0483605519686036,0.0,0.0,0.1246202050892518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.7032386441049883,4.432232462984476,1399
1,1,1,0,4.718,0,0,1,0,1,1,1,1,0,0,0,0,0,0.1047759210026586,0.3029972148373211,0.0,0.0,0.0,0.0,0.0,0.0373834240621175,0.0,0.0,0.077066717305988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,5.703782474656201,10.208350251666356,1281
1,0,0,0,9.608,0,0,1,0,1,1,1,0,0,0,0,0,0,0.1088675162554295,0.3093183618567607,0.0,0.0,0.0,0.0337496211939964,0.0,0.0,0.0,0.0,0.0665156759228245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.8874796500200356,14.457535870494963,990
