map_results,click,organic_click_3p,organic_click_1p,time_elapsed,n_direct_answer,n_knowledge_panel_rhs,n_people_also_ask,n_top_stories,n_videos,n_images,n_ad,n_local_results,Reference,News and Media,Business,Shopping,Information Technology,Education,Entertainment,Streaming Media and Download,Health and Wellness,Government and Legal Organizations,Social Networking,Restaurant and Dining,Finance and Banking,Sports,Society and Lifestyles,Newsgroups and Message Boards,Arts and Culture,Travel,Real Estate,click_prev_1,organic_click_3p_prev_1,organic_click_1p_prev_1,log_time_elapsed_prev_1,log_time_prev_1,user_id
1,1,1,0,13.408,0,0,0,0,0,0,0,0,0.3272663000785545,0.0,0.0769913589945011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5957423409269443,0,0,0,2.8366779236983826,5.162640817577126,687
1,0,0,0,194.569,0,0,0,0,0,0,0,0,0.1276904948939512,0.0,0.0,0.0,0.09827965435978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7740298507462686,1,0,1,4.602556773999939,7.37219533521754,887
1,0,0,0,20.074,0,0,0,0,0,0,0,0,0.2172663000785545,0.0,0.0,0.0,0.0325216025137469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7502120974076985,1,1,0,2.778819271990417,4.171398191664392,1620
1,0,0,0,3.723,0,0,0,0,0,0,0,0,0.400494893951296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5550353495679498,0,0,0,-0.6329932577401982,2.4716525341095843,713
1,1,1,0,25.052000000000003,0,0,0,0,0,0,0,0,0.3829379418695993,0.0,0.1897172034564022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1711390416339355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3.3306676154716284,7.757352208768466,1304
1,0,0,0,28.578000000000007,0,0,0,0,0,0,0,0,0.4043519245875883,0.0,0.2610526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.210636292223095,0.0325216025137469,1,1,0,2.503073953743449,7.102710033169085,764
1,0,0,0,22.878,0,0,0,0,0,0,0,0,0.0,0.0,0.3432657794466839,0.0,0.1285548622232039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2887514495554697,1,1,0,2.2667506399848296,3.908898128080621,777
1,1,0,1,7.246,0,0,0,0,0,0,0,0,0.09827965435978,0.0,0.0,0.0,0.0720188531029065,0.0,0.0,0.0,0.0,0.0325216025137469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7971798900235665,1,1,0,2.7476554556945696,5.114604842807942,779
1,1,1,0,14.39,0,0,0,0,0,0,0,0,0.3218695993715633,0.0,0.0498664571877454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0325216025137469,0.5487745483110763,1,1,0,3.635294061190181,4.782571324018225,810
1,1,1,0,5.622000000000001,0,0,0,0,0,1,0,0,0.046967792615868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0444697564807541,0.0,0.0,0.0,0.0,0.0,0.9085624509033778,0,0,0,0.3184537311185346,8.057377171801527,832
1,1,1,0,21.186,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,0.1510028735365274,3.9939715880753135,859
1,0,0,0,13.477,0,0,0,0,0,0,0,0,0.0,0.0,0.0444697564807541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.955530243519246,1,1,0,5.173394528051935,5.958672724282991,1726
1,0,0,0,10.747,0,0,0,0,0,0,0,0,0.6867242733699922,0.0,0.1942890809112333,0.046967792615868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0720188531029065,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.8046885552928528,3.884877887904591,1409
1,0,0,0,136.81799999999998,0,0,0,0,0,0,0,0,0.1796307934014138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.820369206598586,1,1,0,3.721467643707088,4.6803333155531,877
1,1,0,1,12.931,0,0,0,0,0,0,0,0,0.0,0.0,0.0943362136684995,0.0,0.0,0.0,0.0,0.0,0.2562058130400629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6494579732914375,0,0,0,5.703782474656201,10.314967932565937,878
1,0,0,0,226.968,0,0,0,0,0,1,0,0,0.1539512961508247,0.1855852317360566,0.2887274155538099,0.0,0.0,0.0,0.0,0.0,0.0,0.2053809897879026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0720188531029065,0,0,0,1.3744747843145484,3.711325642943766,885
1,0,0,0,1.709,0,0,0,0,0,0,0,0,0.4615868028279655,0.0,0.1413040062843675,0.0,0.09827965435978,0.0,0.0,0.0,0.0,0.0,0.1276904948939512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.5212385790353906,3.642180851104696,885
1,1,1,0,21.722,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0720188531029065,0.0,0.0,0.0,0.0823880597014923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8455930871956012,0,0,0,0.8833542316278902,11.355742906975154,922
1,0,0,0,52.837,0,0,0,0,0,0,0,0,0.0325216025137469,0.0,0.210636292223095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0498664571877454,0.0,0.046967792615868,0.0,0.0,0.0,0.6600078554595445,1,1,0,3.717102413057676,9.802327369782796,1689
1,0,0,0,8.395000000000001,0,0,0,0,0,0,0,0,0.3902322182526794,0.0,0.0,0.2648181227671322,0.0,0.0,0.0,0.0,0.0,0.0,0.0485466060409223,0.1015833062682688,0.0,0.0,0.0,0.0,0.0,0.0,0.0515427086716465,0,0,0,-0.0855578883616465,7.833243583210335,943
